Nazwa;Adres;Kod pocztowy;Miasto;Stan;Kraj;Bry豉;Pi皻ro;Numer Sali;Rodzaj sali;Opis;Liczba miejsc
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;B;0;;Aula;Aula wyk豉dowa og鏊nouczelniana;246
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;C;0;1;Aula;Aula wyk豉dowa;128
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;C;0;2;Aula;Aula wyk豉dowa;128
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;1;6;Sala audytoryjna;Sala 獞iczeniowa;34
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;1;7;Sala audytoryjna;Sala 獞iczeniowa;34
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;2;15;Sala audytoryjna;Sala 獞iczeniowa;33
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;2;6;Sala audytoryjna;Sala 獞iczeniowa;32
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;2;7;Sala audytoryjna;Sala 獞iczeniowa;32
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;3;6;Sala audytoryjna;Sala 獞iczeniowa;32
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;3;7;Sala audytoryjna;Sala 獞iczeniowa;32
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;D;0;9;Sala audytoryjna;Sala wyk豉dowa;40
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;D;2;14;Sala audytoryjna;Sala 獞iczeniowa;30
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;D;2;3;Sala audytoryjna;Sala seminaryjna;12
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;E;0;13;Sala audytoryjna;Sala 獞iczeniowa;24
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;E;1;14;Sala audytoryjna;Sala 獞iczeniowa;28
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;1;22;Sala specjalistyczna;Sala Rady Wydzia逝;0
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;2;17;Sala specjalistyczna;Pracownia dydaktyki;40
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;3;17;Sala specjalistyczna;Pracownia sieci komputerowych;20
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;D;0;4;Sala specjalistyczna;Pracownia fizyki;12
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;D;0;5;Sala specjalistyczna;Pracownia fizyki;14
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;D;1;15;Sala specjalistyczna;Pracownia miernictwa;9
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;D;1;16;Sala specjalistyczna;Pracownia techniki cyfrowej;8
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;E;0;8;Sala specjalistyczna;Pracownia robotyki;8
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;E;1;10;Sala specjalistyczna;Pracownia grafiki komputerowej;20
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;2;16;Sala komputerowa;Sala komputerowa;20
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;3;15;Sala komputerowa;Sala komputerowa;20
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;A;3;16;Sala komputerowa;Sala komputerowa;20
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;D;1;14;Sala komputerowa;Sala komputerowa;20
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;D;2;15;Sala komputerowa;Sala komputerowa;20
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;D;2;16;Sala komputerowa;Sala komputerowa;20
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;E;0;14;Sala komputerowa;Sala komputerowa;20
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;E;0;15;Sala komputerowa;Sala komputerowa;20
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;E;1;15;Sala komputerowa;Sala komputerowa;20
WMiI;ul. S這neczna 54;10-687;Olsztyn;WM;Polska;E;1;16;Sala komputerowa;Sala komputerowa;20
